 {'change': -963906, 'currency': 'USD', 'filingDate': '2024-02-20', 'id': '0001018724-24-000024', 'isDerivative': False, 'name': 'BEZOS JEFFREY P', 'share': 938324879, 'source': 'sec', 'symbol': 'AMZN', 'transactionCode': 'S', 'transactionDate': '2024-02-20', 'transactionPrice': 167.0782}
 {'change': -2586, 'currency': 'USD', 'filingDate': '2023-09-07', 'id': '0001790565-23-000011', 'isDerivative': True, 'name': 'Baglino Andrew D', 'share': 2586, 'source': 'sec', 'symbol': 'TSLA', 'transactionCode': 'M', 'transactionDate': '2023-09-05', 'transactionPrice': 0}
 {'change': -963906, 'currency': 'USD', 'filingDate': '2024-02-20', 'id': '0001018724-24-000024', 'isDerivative': False, 'name': 'BEZOS JEFFREY P', 'share': 938324879, 'source': 'sec', 'symbol': 'AMZN', 'transactionCode': 'S', 'transactionDate': '2024-02-20', 'transactionPrice': 167.0782}
 {'change': -6200, 'currency': 'USD', 'filingDate': '2024-01-04', 'id': '0001209191-24-000683', 'isDerivative': False, 'name': 'Pichai Sundar', 'share': 2438991, 'source': 'sec', 'symbol': 'GOOGL', 'transactionCode': 'S', 'transactionDate': '2024-01-03', 'transactionPrice': 139.3481}
 {'change': 278, 'currency': 'USD', 'filingDate': '2023-12-07', 'id': '0001062993-23-022102', 'isDerivative': True, 'name': 'Rodriguez Carlos A', 'share': 2651, 'source': 'sec', 'symbol': 'MSFT', 'transactionCode': 'A', 'transactionDate': '2023-12-06', 'transactionPrice': 0}
 {'change': -3462, 'currency': 'USD', 'filingDate': '2024-02-01', 'id': '0001127602-24-002919', 'isDerivative': True, 'name': 'Henry Alyssa', 'share': 0, 'source': 'sec', 'symbol': 'INTC', 'transactionCode': 'M', 'transactionDate': '2024-01-30', 'transactionPrice': 0}
 {'change': -25850, 'currency': 'USD', 'filingDate': '2023-10-03', 'id': '0000320193-23-000088', 'isDerivative': False, 'name': 'Adams Katherine L.', 'share': 456400, 'source': 'sec', 'symbol': 'AAPL', 'transactionCode': 'S', 'transactionDate': '2023-10-03', 'transactionPrice': 171.62}
 {'change': -2586, 'currency': 'USD', 'filingDate': '2023-09-07', 'id': '0001790565-23-000011', 'isDerivative': True, 'name': 'Baglino Andrew D', 'share': 2586, 'source': 'sec', 'symbol': 'TSLA', 'transactionCode': 'M', 'transactionDate': '2023-09-05', 'transactionPrice': 0}
 {'change': -963906, 'currency': 'USD', 'filingDate': '2024-02-20', 'id': '0001018724-24-000024', 'isDerivative': False, 'name': 'BEZOS JEFFREY P', 'share': 938324879, 'source': 'sec', 'symbol': 'AMZN', 'transactionCode': 'S', 'transactionDate': '2024-02-20', 'transactionPrice': 167.0782}
 {'change': -6200, 'currency': 'USD', 'filingDate': '2024-01-04', 'id': '0001209191-24-000683', 'isDerivative': False, 'name': 'Pichai Sundar', 'share': 2438991, 'source': 'sec', 'symbol': 'GOOGL', 'transactionCode': 'S', 'transactionDate': '2024-01-03', 'transactionPrice': 139.3481}
 {'change': 278, 'currency': 'USD', 'filingDate': '2023-12-07', 'id': '0001062993-23-022102', 'isDerivative': True, 'name': 'Rodriguez Carlos A', 'share': 2651, 'source': 'sec', 'symbol': 'MSFT', 'transactionCode': 'A', 'transactionDate': '2023-12-06', 'transactionPrice': 0}
 {'change': -3462, 'currency': 'USD', 'filingDate': '2024-02-01', 'id': '0001127602-24-002919', 'isDerivative': True, 'name': 'Henry Alyssa', 'share': 0, 'source': 'sec', 'symbol': 'INTC', 'transactionCode': 'M', 'transactionDate': '2024-01-30', 'transactionPrice': 0}
 {'change': -25850, 'currency': 'USD', 'filingDate': '2023-10-03', 'id': '0000320193-23-000088', 'isDerivative': False, 'name': 'Adams Katherine L.', 'share': 456400, 'source': 'sec', 'symbol': 'AAPL', 'transactionCode': 'S', 'transactionDate': '2023-10-03', 'transactionPrice': 171.62}
 {'change': -2586, 'currency': 'USD', 'filingDate': '2023-09-07', 'id': '0001790565-23-000011', 'isDerivative': True, 'name': 'Baglino Andrew D', 'share': 2586, 'source': 'sec', 'symbol': 'TSLA', 'transactionCode': 'M', 'transactionDate': '2023-09-05', 'transactionPrice': 0}
 {'change': -963906, 'currency': 'USD', 'filingDate': '2024-02-20', 'id': '0001018724-24-000024', 'isDerivative': False, 'name': 'BEZOS JEFFREY P', 'share': 938324879, 'source': 'sec', 'symbol': 'AMZN', 'transactionCode': 'S', 'transactionDate': '2024-02-20', 'transactionPrice': 167.0782}
 {'change': -6200, 'currency': 'USD', 'filingDate': '2024-01-04', 'id': '0001209191-24-000683', 'isDerivative': False, 'name': 'Pichai Sundar', 'share': 2438991, 'source': 'sec', 'symbol': 'GOOGL', 'transactionCode': 'S', 'transactionDate': '2024-01-03', 'transactionPrice': 139.3481}
 {'change': 278, 'currency': 'USD', 'filingDate': '2023-12-07', 'id': '0001062993-23-022102', 'isDerivative': True, 'name': 'Rodriguez Carlos A', 'share': 2651, 'source': 'sec', 'symbol': 'MSFT', 'transactionCode': 'A', 'transactionDate': '2023-12-06', 'transactionPrice': 0}
 {'change': -3462, 'currency': 'USD', 'filingDate': '2024-02-01', 'id': '0001127602-24-002919', 'isDerivative': True, 'name': 'Henry Alyssa', 'share': 0, 'source': 'sec', 'symbol': 'INTC', 'transactionCode': 'M', 'transactionDate': '2024-01-30', 'transactionPrice': 0}
 {'change': -25850, 'currency': 'USD', 'filingDate': '2023-10-03', 'id': '0000320193-23-000088', 'isDerivative': False, 'name': 'Adams Katherine L.', 'share': 456400, 'source': 'sec', 'symbol': 'AAPL', 'transactionCode': 'S', 'transactionDate': '2023-10-03', 'transactionPrice': 171.62}
 {'change': -2586, 'currency': 'USD', 'filingDate': '2023-09-07', 'id': '0001790565-23-000011', 'isDerivative': True, 'name': 'Baglino Andrew D', 'share': 2586, 'source': 'sec', 'symbol': 'TSLA', 'transactionCode': 'M', 'transactionDate': '2023-09-05', 'transactionPrice': 0}
 {'change': -963906, 'currency': 'USD', 'filingDate': '2024-02-20', 'id': '0001018724-24-000024', 'isDerivative': False, 'name': 'BEZOS JEFFREY P', 'share': 938324879, 'source': 'sec', 'symbol': 'AMZN', 'transactionCode': 'S', 'transactionDate': '2024-02-20', 'transactionPrice': 167.0782}
 {'change': -6200, 'currency': 'USD', 'filingDate': '2024-01-04', 'id': '0001209191-24-000683', 'isDerivative': False, 'name': 'Pichai Sundar', 'share': 2438991, 'source': 'sec', 'symbol': 'GOOGL', 'transactionCode': 'S', 'transactionDate': '2024-01-03', 'transactionPrice': 139.3481}
 {'change': 278, 'currency': 'USD', 'filingDate': '2023-12-07', 'id': '0001062993-23-022102', 'isDerivative': True, 'name': 'Rodriguez Carlos A', 'share': 2651, 'source': 'sec', 'symbol': 'MSFT', 'transactionCode': 'A', 'transactionDate': '2023-12-06', 'transactionPrice': 0}
 {'change': -3462, 'currency': 'USD', 'filingDate': '2024-02-01', 'id': '0001127602-24-002919', 'isDerivative': True, 'name': 'Henry Alyssa', 'share': 0, 'source': 'sec', 'symbol': 'INTC', 'transactionCode': 'M', 'transactionDate': '2024-01-30', 'transactionPrice': 0}
 {'change': -25850, 'currency': 'USD', 'filingDate': '2023-10-03', 'id': '0000320193-23-000088', 'isDerivative': False, 'name': 'Adams Katherine L.', 'share': 456400, 'source': 'sec', 'symbol': 'AAPL', 'transactionCode': 'S', 'transactionDate': '2023-10-03', 'transactionPrice': 171.62}
 {'change': -2586, 'currency': 'USD', 'filingDate': '2023-09-07', 'id': '0001790565-23-000011', 'isDerivative': True, 'name': 'Baglino Andrew D', 'share': 2586, 'source': 'sec', 'symbol': 'TSLA', 'transactionCode': 'M', 'transactionDate': '2023-09-05', 'transactionPrice': 0}
 {'change': -963906, 'currency': 'USD', 'filingDate': '2024-02-20', 'id': '0001018724-24-000024', 'isDerivative': False, 'name': 'BEZOS JEFFREY P', 'share': 938324879, 'source': 'sec', 'symbol': 'AMZN', 'transactionCode': 'S', 'transactionDate': '2024-02-20', 'transactionPrice': 167.0782}
 {'change': -6200, 'currency': 'USD', 'filingDate': '2024-01-04', 'id': '0001209191-24-000683', 'isDerivative': False, 'name': 'Pichai Sundar', 'share': 2438991, 'source': 'sec', 'symbol': 'GOOGL', 'transactionCode': 'S', 'transactionDate': '2024-01-03', 'transactionPrice': 139.3481}
 {'change': 278, 'currency': 'USD', 'filingDate': '2023-12-07', 'id': '0001062993-23-022102', 'isDerivative': True, 'name': 'Rodriguez Carlos A', 'share': 2651, 'source': 'sec', 'symbol': 'MSFT', 'transactionCode': 'A', 'transactionDate': '2023-12-06', 'transactionPrice': 0}
 {'change': -3462, 'currency': 'USD', 'filingDate': '2024-02-01', 'id': '0001127602-24-002919', 'isDerivative': True, 'name': 'Henry Alyssa', 'share': 0, 'source': 'sec', 'symbol': 'INTC', 'transactionCode': 'M', 'transactionDate': '2024-01-30', 'transactionPrice': 0}
 {'change': -25850, 'currency': 'USD', 'filingDate': '2023-10-03', 'id': '0000320193-23-000088', 'isDerivative': False, 'name': 'Adams Katherine L.', 'share': 456400, 'source': 'sec', 'symbol': 'AAPL', 'transactionCode': 'S', 'transactionDate': '2023-10-03', 'transactionPrice': 171.62}
 {'change': -2586, 'currency': 'USD', 'filingDate': '2023-09-07', 'id': '0001790565-23-000011', 'isDerivative': True, 'name': 'Baglino Andrew D', 'share': 2586, 'source': 'sec', 'symbol': 'TSLA', 'transactionCode': 'M', 'transactionDate': '2023-09-05', 'transactionPrice': 0}
 {'change': -963906, 'currency': 'USD', 'filingDate': '2024-02-20', 'id': '0001018724-24-000024', 'isDerivative': False, 'name': 'BEZOS JEFFREY P', 'share': 938324879, 'source': 'sec', 'symbol': 'AMZN', 'transactionCode': 'S', 'transactionDate': '2024-02-20', 'transactionPrice': 167.0782}
 {'change': -6200, 'currency': 'USD', 'filingDate': '2024-01-04', 'id': '0001209191-24-000683', 'isDerivative': False, 'name': 'Pichai Sundar', 'share': 2438991, 'source': 'sec', 'symbol': 'GOOGL', 'transactionCode': 'S', 'transactionDate': '2024-01-03', 'transactionPrice': 139.3481}
 {'change': 278, 'currency': 'USD', 'filingDate': '2023-12-07', 'id': '0001062993-23-022102', 'isDerivative': True, 'name': 'Rodriguez Carlos A', 'share': 2651, 'source': 'sec', 'symbol': 'MSFT', 'transactionCode': 'A', 'transactionDate': '2023-12-06', 'transactionPrice': 0}
 {'change': -3462, 'currency': 'USD', 'filingDate': '2024-02-01', 'id': '0001127602-24-002919', 'isDerivative': True, 'name': 'Henry Alyssa', 'share': 0, 'source': 'sec', 'symbol': 'INTC', 'transactionCode': 'M', 'transactionDate': '2024-01-30', 'transactionPrice': 0}
 {'change': -25850, 'currency': 'USD', 'filingDate': '2023-10-03', 'id': '0000320193-23-000088', 'isDerivative': False, 'name': 'Adams Katherine L.', 'share': 456400, 'source': 'sec', 'symbol': 'AAPL', 'transactionCode': 'S', 'transactionDate': '2023-10-03', 'transactionPrice': 171.62}
 {'change': -2586, 'currency': 'USD', 'filingDate': '2023-09-07', 'id': '0001790565-23-000011', 'isDerivative': True, 'name': 'Baglino Andrew D', 'share': 2586, 'source': 'sec', 'symbol': 'TSLA', 'transactionCode': 'M', 'transactionDate': '2023-09-05', 'transactionPrice': 0}
 {'change': -963906, 'currency': 'USD', 'filingDate': '2024-02-20', 'id': '0001018724-24-000024', 'isDerivative': False, 'name': 'BEZOS JEFFREY P', 'share': 938324879, 'source': 'sec', 'symbol': 'AMZN', 'transactionCode': 'S', 'transactionDate': '2024-02-20', 'transactionPrice': 167.0782}
 {'change': -6200, 'currency': 'USD', 'filingDate': '2024-01-04', 'id': '0001209191-24-000683', 'isDerivative': False, 'name': 'Pichai Sundar', 'share': 2438991, 'source': 'sec', 'symbol': 'GOOGL', 'transactionCode': 'S', 'transactionDate': '2024-01-03', 'transactionPrice': 139.3481}
 {'change': 278, 'currency': 'USD', 'filingDate': '2023-12-07', 'id': '0001062993-23-022102', 'isDerivative': True, 'name': 'Rodriguez Carlos A', 'share': 2651, 'source': 'sec', 'symbol': 'MSFT', 'transactionCode': 'A', 'transactionDate': '2023-12-06', 'transactionPrice': 0}
 {'change': -3462, 'currency': 'USD', 'filingDate': '2024-02-01', 'id': '0001127602-24-002919', 'isDerivative': True, 'name': 'Henry Alyssa', 'share': 0, 'source': 'sec', 'symbol': 'INTC', 'transactionCode': 'M', 'transactionDate': '2024-01-30', 'transactionPrice': 0}
 {'change': -25850, 'currency': 'USD', 'filingDate': '2023-10-03', 'id': '0000320193-23-000088', 'isDerivative': False, 'name': 'Adams Katherine L.', 'share': 456400, 'source': 'sec', 'symbol': 'AAPL', 'transactionCode': 'S', 'transactionDate': '2023-10-03', 'transactionPrice': 171.62}
 {'change': -2586, 'currency': 'USD', 'filingDate': '2023-09-07', 'id': '0001790565-23-000011', 'isDerivative': True, 'name': 'Baglino Andrew D', 'share': 2586, 'source': 'sec', 'symbol': 'TSLA', 'transactionCode': 'M', 'transactionDate': '2023-09-05', 'transactionPrice': 0}
 {'change': -963906, 'currency': 'USD', 'filingDate': '2024-02-20', 'id': '0001018724-24-000024', 'isDerivative': False, 'name': 'BEZOS JEFFREY P', 'share': 938324879, 'source': 'sec', 'symbol': 'AMZN', 'transactionCode': 'S', 'transactionDate': '2024-02-20', 'transactionPrice': 167.0782}
 {'change': -6200, 'currency': 'USD', 'filingDate': '2024-01-04', 'id': '0001209191-24-000683', 'isDerivative': False, 'name': 'Pichai Sundar', 'share': 2438991, 'source': 'sec', 'symbol': 'GOOGL', 'transactionCode': 'S', 'transactionDate': '2024-01-03', 'transactionPrice': 139.3481}
 {'change': 278, 'currency': 'USD', 'filingDate': '2023-12-07', 'id': '0001062993-23-022102', 'isDerivative': True, 'name': 'Rodriguez Carlos A', 'share': 2651, 'source': 'sec', 'symbol': 'MSFT', 'transactionCode': 'A', 'transactionDate': '2023-12-06', 'transactionPrice': 0}
 {'change': -3462, 'currency': 'USD', 'filingDate': '2024-02-01', 'id': '0001127602-24-002919', 'isDerivative': True, 'name': 'Henry Alyssa', 'share': 0, 'source': 'sec', 'symbol': 'INTC', 'transactionCode': 'M', 'transactionDate': '2024-01-30', 'transactionPrice': 0}
 {'change': -25850, 'currency': 'USD', 'filingDate': '2023-10-03', 'id': '0000320193-23-000088', 'isDerivative': False, 'name': 'Adams Katherine L.', 'share': 456400, 'source': 'sec', 'symbol': 'AAPL', 'transactionCode': 'S', 'transactionDate': '2023-10-03', 'transactionPrice': 171.62}
 {'change': -2586, 'currency': 'USD', 'filingDate': '2023-09-07', 'id': '0001790565-23-000011', 'isDerivative': True, 'name': 'Baglino Andrew D', 'share': 2586, 'source': 'sec', 'symbol': 'TSLA', 'transactionCode': 'M', 'transactionDate': '2023-09-05', 'transactionPrice': 0}
 {'change': -963906, 'currency': 'USD', 'filingDate': '2024-02-20', 'id': '0001018724-24-000024', 'isDerivative': False, 'name': 'BEZOS JEFFREY P', 'share': 938324879, 'source': 'sec', 'symbol': 'AMZN', 'transactionCode': 'S', 'transactionDate': '2024-02-20', 'transactionPrice': 167.0782}
 {'change': -6200, 'currency': 'USD', 'filingDate': '2024-01-04', 'id': '0001209191-24-000683', 'isDerivative': False, 'name': 'Pichai Sundar', 'share': 2438991, 'source': 'sec', 'symbol': 'GOOGL', 'transactionCode': 'S', 'transactionDate': '2024-01-03', 'transactionPrice': 139.3481}
 {'change': 278, 'currency': 'USD', 'filingDate': '2023-12-07', 'id': '0001062993-23-022102', 'isDerivative': True, 'name': 'Rodriguez Carlos A', 'share': 2651, 'source': 'sec', 'symbol': 'MSFT', 'transactionCode': 'A', 'transactionDate': '2023-12-06', 'transactionPrice': 0}
 {'change': -3462, 'currency': 'USD', 'filingDate': '2024-02-01', 'id': '0001127602-24-002919', 'isDerivative': True, 'name': 'Henry Alyssa', 'share': 0, 'source': 'sec', 'symbol': 'INTC', 'transactionCode': 'M', 'transactionDate': '2024-01-30', 'transactionPrice': 0}
 {'change': -25850, 'currency': 'USD', 'filingDate': '2023-10-03', 'id': '0000320193-23-000088', 'isDerivative': False, 'name': 'Adams Katherine L.', 'share': 456400, 'source': 'sec', 'symbol': 'AAPL', 'transactionCode': 'S', 'transactionDate': '2023-10-03', 'transactionPrice': 171.62}
 {'change': -2586, 'currency': 'USD', 'filingDate': '2023-09-07', 'id': '0001790565-23-000011', 'isDerivative': True, 'name': 'Baglino Andrew D', 'share': 2586, 'source': 'sec', 'symbol': 'TSLA', 'transactionCode': 'M', 'transactionDate': '2023-09-05', 'transactionPrice': 0}
 {'change': -963906, 'currency': 'USD', 'filingDate': '2024-02-20', 'id': '0001018724-24-000024', 'isDerivative': False, 'name': 'BEZOS JEFFREY P', 'share': 938324879, 'source': 'sec', 'symbol': 'AMZN', 'transactionCode': 'S', 'transactionDate': '2024-02-20', 'transactionPrice': 167.0782}
 {'change': -6200, 'currency': 'USD', 'filingDate': '2024-01-04', 'id': '0001209191-24-000683', 'isDerivative': False, 'name': 'Pichai Sundar', 'share': 2438991, 'source': 'sec', 'symbol': 'GOOGL', 'transactionCode': 'S', 'transactionDate': '2024-01-03', 'transactionPrice': 139.3481}
 {'change': 278, 'currency': 'USD', 'filingDate': '2023-12-07', 'id': '0001062993-23-022102', 'isDerivative': True, 'name': 'Rodriguez Carlos A', 'share': 2651, 'source': 'sec', 'symbol': 'MSFT', 'transactionCode': 'A', 'transactionDate': '2023-12-06', 'transactionPrice': 0}
